Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-23 01:32:15.557,Mobile Developer,Senior,4-6 Yıl,"Java / Spring, Kotlin",Türkiye,Remote,2000+,Türk Lirası,51.000 - 55.000 TL
2023-01-23 01:32:44.280,Mobile Developer,Mid,1-3 Yıl,Kotlin,Türkiye,Remote,50-100,Türk Lirası,26.000 - 30.000 TL
2023-01-23 01:33:36.576,Fullstack Developer,Junior,1-3 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Hybrid,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 01:35:47.206,Frontend Developer,Mid,4-6 Yıl,"React / NextJS, Vue, NodeJS, Javascript",Türkiye,Remote,2000+,Türk Lirası,46.000 - 50.000 TL
2023-01-23 01:36:08.273,Backend Developer,Senior,7-9 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,41.000 - 45.000 TL
2023-01-23 01:36:09.630,Mobile Developer,Junior,0-1 Yıl,Flutter,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:37:22.094,Analist,Junior,1-3 Yıl,Diğer,Türkiye,Hybrid,1000-2000,Türk Lirası,26.000 - 30.000 TL
2023-01-23 01:37:44.264,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,300-1000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:38:10.978,Backend Developer,Senior,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,2000+,Türk Lirası,56.000 - 60.000 TL
2023-01-23 01:41:28.263,Backend Developer,Senior,4-6 Yıl,Python,Türkiye,Remote,2000+,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:41:31.747,Backend Developer,Junior,1-3 Yıl,Java / Spring,Türkiye,Remote,300-1000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 01:42:10.116,Mobile Developer,Junior,1-3 Yıl,"C# / .NET Framework, Flutter",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:46:12.025,Embedded Software Eng. ,Junior,0-1 Yıl,C / C++,Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 01:48:04.257,Backend Developer,Junior,0-1 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Remote,30-50,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:50:51.064,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Yurtdışı,Hybrid,2000+,Euro,66.000 - 70.000 TL
2023-01-23 01:54:32.388,Backend Developer,Senior,10+ Yıl,"Java / Spring, Kotlin",Yurtdışı,Hybrid,100-300,Sterlin,151.000 - 200.000 TL
2023-01-23 01:55:35.282,Fullstack Developer,Senior,10+ Yıl,"NodeJS, Javascript, C# / .NET Framework",Yurtdışı,Remote,10-30,Dolar,46.000 - 50.000 TL
2023-01-23 01:58:03.207,Mobile Developer,Senior,4-6 Yıl,"Java / Spring, C# / .NET Framework, Kotlin",Türkiye,Remote,2000+,Türk Lirası,36.000 - 40.000 TL
2023-01-23 01:59:29.000,Backend Developer,Mid,4-6 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:59:57.800,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, Java / Spring, Kotlin",Türkiye,Remote,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:00:54.032,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,41.000 - 45.000 TL
2023-01-23 02:05:27.652,Backend Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Remote,30-50,Türk Lirası,11.000 - 15.000 TL
2023-01-23 02:10:27.445,Architect / Mimar,Senior,10+ Yıl,Cloud,Türkiye,Hybrid,2000+,Türk Lirası,81.000 - 90.000 TL
2023-01-23 02:10:37.500,Frontend Developer,Junior,1-3 Yıl,Javascript,Türkiye,Remote,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 02:11:18.679,Fullstack Developer,Mid,4-6 Yıl,"Javascript, PHP / Laravel",Türkiye,Remote,1000-2000,Türk Lirası,26.000 - 30.000 TL
2023-01-23 02:13:35.812,Monitoring,Junior,0-1 Yıl,"Yazılım ekibi python kullanıyor, ekibin monitoringini yapıyorum",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:14:41.020,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, Java / Spring, React Native, Figma",Türkiye,Hybrid,50-100,Türk Lirası,21.000 - 25.000 TL
2023-01-23 02:15:26.022,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Vue, NodeJS, Javascript, Scala",Türkiye,Remote,0-10,Türk Lirası,101.000 - 120.000 TL
2023-01-23 02:17:42.470,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,300-1000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 02:18:29.200,Fullstack Developer,Mid,1-3 Yıl,"Javascript, C# / .NET Framework",Türkiye,Remote,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 02:21:19.796,Mobile Developer,Junior,0-1 Yıl,Flutter,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:22:24.736,Analist,Junior,1-3 Yıl,"Angular, C# / .NET Framework, Figma",Türkiye,Hybrid,2000+,Türk Lirası,21.000 - 25.000 TL
2023-01-23 02:24:50.380,Data Analyst,Junior,0-1 Yıl,"Sql, excel, power bi",Türkiye,Hybrid,1000-2000,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:28:02.106,Backend Developer,Tanımsız,1-3 Yıl,Go,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,26.000 - 30.000 TL
2023-01-23 02:28:31.944,Big data engineer,Junior,0-1 Yıl,"Java / Spring, C# / .NET Framework, Python, SQL, Hadoop, Spark, Hive, Kafka, Airflow",Türkiye,Hybrid,2000+,Türk Lirası,11.000 - 15.000 TL
2023-01-23 02:28:50.299,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,300-1000,Türk Lirası,41.000 - 45.000 TL
2023-01-23 02:28:58.190,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript",Türkiye,Remote,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 02:30:16.580,Analist,Senior,1-3 Yıl,SQL,Türkiye,Remote,100-300,Türk Lirası,21.000 - 25.000 TL
2023-01-23 02:30:47.691,Game Developer / Oyun Geliştirici,Junior,0-1 Yıl,Unity,Yurtdışı,Remote,0-10,Euro,5000 - 10.000 TL
2023-01-23 02:32:54.495,Yönetici / Müdür,Senior,10+ Yıl,"React / NextJS, Vue, Javascript, PHP / Laravel, React Native",Yurtdışı,Hybrid,10-30,Sterlin,71.000 - 80.000 TL
2023-01-23 02:33:14.710,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
2023-01-23 02:34:13.852,DevOps Engineer,Mid,4-6 Yıl,Java / Spring,Türkiye,Hybrid,300-1000,Türk Lirası,26.000 - 30.000 TL
